q10,q11,q12,q13,q15,q16,q17,q18,q19,q20,q20b,q22,q24,q31,q112b_fi,q116,q122,q122a,q122b,q125,q139,q142,gender,msa,region,allwt,job,census,state,q3a,cmb1
Wrong track,Somewhat better,Very bad time,Somewhat bad time,Prices will go up, ,5,Prices will go up, ,10,Rates will go up,Very difficult,Own your home outright and do not have any debt on it,Buy, ,Significantly higher now,65-69,65,65-69,Divorced,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$10,000-$14,999",Female, , ,1.11880495446385,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Wrong track,Somewhat worse,Very bad time,Somewhat good time,Prices will go up, ,5,Prices will go up, ,5,Rates will go up,Somewhat difficult,Rent,Buy,Not at all concerned,About the same vs. twelve months ago,40-44,41,40-44,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Male, , ,1.11854518289658,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Right track,Somewhat better,Somewhat bad time,Somewhat good time,Prices will go down,5, ,Prices will remain about the same, , ,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,Significantly higher now,55-59,56,55-59,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Male, , ,.334069772457146,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Wrong track,Somewhat worse,Somewhat bad time,Somewhat bad time,Prices will go up, ,15,Prices will remain about the same, , ,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Rent,Not very concerned,Significantly lower now,40-44,43,40-44,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Male, , ,.334911905007472,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Wrong track,Much worse,Very bad time,Somewhat bad time,Prices will go up, ,20,Prices will go up, ,15,Rates will go up,Somewhat difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy, ,Significantly lower now,65-69,68,65-69,Married or have an unmarried partner,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$150,000-$199,999",Female, , ,3.2084735138291,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Wrong track,Much worse,Very bad time,Very good time,Prices will go up, ,10,Prices will go up, ,30,Rates will remain about the same,Very easy,Own your home outright and do not have any debt on it,Buy,Very concerned,Significantly higher now,45-49,47,45-49,Other VOL,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Female, , ,.778277304379731,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Wrong track,Somewhat worse,Somewhat bad time,Very good time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,70-74,72,70-74,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Male, , ,.341934428084992,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Right track,Stay about the same,Very bad time,Very good time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Don't know VOL,Not at all concerned,About the same vs. twelve months ago,40-44,40,40-44,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Male, , ,.6970089896724,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Don't know VOL,Stay about the same,Somewhat bad time,Somewhat bad time,Prices will go down,5, ,Prices will go up, ,5,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Rent,Not at all concerned,About the same vs. twelve months ago,75+,82,75+,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Male, , ,.574421879592946,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Wrong track,Stay about the same,Very bad time,Somewhat good time,Prices will go down, , ,Prices will go up, ,20,Rates will go down,Very easy,Own your home outright and do not have any debt on it,Buy,Not at all concerned,About the same vs. twelve months ago,45-49,46,45-49,Married or have an unmarried partner,"Asian (DO NOT READ: includes Chinese, Japanese, Korean, Vietnamese, Thai, Indian, Pakistani, etc.)","$200,000+",Male, , ,1.09085080504334,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Wrong track,Stay about the same,Somewhat bad time,Somewhat good time,Prices will go down,10, ,Prices will remain about the same, , ,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,60-64,60,60-64,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Male, , ,1.42214137687494,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Right track,Somewhat better,Somewhat bad time,Very good time,Prices will go down,2, ,Prices will go up, , ,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,Significantly lower now,55-59,56,55-59,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Male, , ,.845273820702248,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Wrong track,Somewhat better,Somewhat bad time,Somewhat bad time,Prices will go up, ,3,Prices will go up, ,8,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy,Not very concerned,Significantly higher now,60-64,62,60-64,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$150,000-$199,999",Male, , ,.404673699356568,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Wrong track,Much worse,Somewhat good time,Somewhat good time,Prices will go up, ,6,Prices will go up, , ,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Rent, ,Significantly lower now,75+,83,75+,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$15,000-$24,999",Female, , ,1.72944998464696,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Wrong track,Somewhat worse,Very bad time,Very good time,Prices will go down,10, ,Prices will go up, ,10,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,60-64,62,60-64,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Male, , ,.600964527889889,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Wrong track,Stay about the same,Somewhat bad time,Very good time,Prices will go up, ,20,Prices will go up, ,10,Rates will go up,Somewhat difficult,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,75+,88,75+,Widowed,Don't know VOL,"$25,000-$34,999",Female, , ,.256948477791121,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Right track,Stay about the same,Somewhat bad time,Very good time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will go up,Don't know VOL,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy, ,About the same vs. twelve months ago,70-74,70,70-74,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Male, , ,.356846566539522,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Right track,Stay about the same,Somewhat bad time,Very good time,Prices will remain about the same, , ,Prices will go up, ,15,Rates will remain about the same,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,55-59,55,55-59,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Female, , ,2.27453509962448,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Wrong track,Somewhat worse,Somewhat good time,Somewhat good time,Prices will remain about the same, , ,Prices will go up, ,15,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,70-74,73,70-74,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Female, , ,.515972791924624,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Don't know VOL,Somewhat better,Very good time,Very good time,Prices will remain about the same, , ,Prices will go up, , ,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,50-54,50,50-54,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Female, , ,.461580443220752,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Wrong track,Somewhat better,Very bad time,Very good time,Prices will go down,10, ,Prices will go up, ,20,Rates will go up,Very difficult,Rent,Rent,Not very concerned,Significantly higher now,25-29,25,25-29,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$15,000-$24,999",Female, , ,1.66577316443629,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Wrong track,Stay about the same,Somewhat bad time,Very good time,Prices will go down,25, ,Prices will remain about the same, , ,Rates will go up,Very easy,Rent,Buy,Not at all concerned,About the same vs. twelve months ago,55-59,55,55-59,Divorced,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Male, , ,.576514577273504,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Wrong track,Stay about the same,Somewhat bad time,Somewhat good time,Prices will go down,7, ,Prices will go up, ,10,Rates will go up,Somewhat easy,Rent,Rent,Not at all concerned,About the same vs. twelve months ago,60-64,61,60-64,Divorced,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Male, , ,.430291430205715,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Wrong track,Much better,Very bad time,Somewhat bad time,Prices will go down,15, ,Prices will go down,5, ,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not very concerned,Significantly higher now,40-44,41,40-44,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Female, , ,.49425853831012,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Right track,Stay about the same,Very bad time,Very good time,Prices will remain about the same, , ,Prices will go up, ,10,Rates will remain about the same,Very easy,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,70-74,74,70-74,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Female, , ,.337518053697134,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Wrong track,Stay about the same,Somewhat good time,Somewhat good time,Prices will remain about the same, , ,Prices will go up, , ,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy, ,Significantly higher now,65-69,68,65-69,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Male, , ,.262704090792631,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Wrong track,Stay about the same,Somewhat good time,Very good time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,55-59,57,55-59,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Female, , ,1.46741194826563,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Don't know VOL,Stay about the same,Very good time,Very bad time,Prices will go up, , ,Prices will go up, , ,Rates will go down,Don't know VOL,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,35-39,39,35-39,Divorced,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","Less than $10,000",Male, , ,1.79752172431511,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Wrong track,Stay about the same,Somewhat bad time,Very good time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not very concerned,Significantly higher now,30-34,30,30-34,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Male, , ,1.63212499717468,Jun-2022 (26724),Division 3,Ohio,Ohio,General Population
Wrong track,Much worse,Very bad time,Don't know VOL,Prices will go down,10, ,Prices will remain about the same, , ,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Rent, ,Significantly lower now,60-64,64,60-64,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$150,000-$199,999",Male, , ,.749019754125184,Jun-2022 (26724),Division 3,Indiana,Indiana,General Population
Wrong track,Somewhat worse,Very bad time,Somewhat bad time,Prices will remain about the same, , ,Prices will go up, ,12,Rates will go up,Somewhat difficult,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,70-74,71,70-74,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Male, , ,.240561154720781,Jun-2022 (26724),Division 3,Indiana,Indiana,General Population
Wrong track,Somewhat worse,Very bad time,Very good time,Prices will go up, ,20,Prices will go up, ,20,Rates will go up,Very difficult,Rent,Rent,Not very concerned,About the same vs. twelve months ago,21-24,24,21-24,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Male, , ,1.28801474893759,Jun-2022 (26724),Division 3,Indiana,Indiana,General Population
Wrong track,Stay about the same,Very bad time,Very good time,Prices will go down,30, ,Prices will go up, ,10,Rates will remain about the same,Very easy,Rent,Buy,Not very concerned,About the same vs. twelve months ago,45-49,45,45-49,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Female, , ,.515078556668163,Jun-2022 (26724),Division 3,Indiana,Indiana,General Population
Don't know VOL,Stay about the same,Somewhat bad time,Somewhat bad time,Prices will go down,5, ,Prices will go up, ,10,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not very concerned,About the same vs. twelve months ago,Don't know VOL, ,Don't know,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Male, , ,.476509264129966,Jun-2022 (26724),Division 3,Indiana,Indiana,General Population
Wrong track,Stay about the same,Somewhat bad time,Somewhat good time,Prices will go up, ,10,Prices will go up, ,10,Rates will go up,Somewhat difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,60-64,64,60-64,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Female, , ,.703100563353667,Jun-2022 (26724),Division 3,Indiana,Indiana,General Population
Wrong track,Somewhat worse,Somewhat bad time,Somewhat good time,Prices will remain about the same, , ,Prices will go up, ,8,Rates will remain about the same,Very easy,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,65-69,67,65-69,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Female, , ,.231483991121675,Jun-2022 (26724),Division 3,Indiana,Indiana,General Population
Wrong track,Stay about the same,Somewhat good time,Very good time,Prices will go up, , ,Prices will remain about the same, , ,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,25-29,25,25-29,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Male, , ,2.92510142337701,Jun-2022 (26724),Division 3,Indiana,Indiana,General Population
Wrong track,Stay about the same,Very bad time,Very good time,Prices will remain about the same, , ,Don't know VOL, , ,Don't know VOL,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Don't know VOL, ,About the same vs. twelve months ago,75+,78,75+,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Female, , ,1.65727524717726,Jun-2022 (26724),Division 3,Indiana,Indiana,General Population
Wrong track,Somewhat better,Very bad time,Very good time,Prices will remain about the same, , ,Prices will go up, ,20,Rates will go up,Very difficult,Rent,Rent,Not at all concerned,About the same vs. twelve months ago,50-54,50,50-54,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$15,000-$24,999",Female, , ,1.24215914907717,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Somewhat worse,Very bad time,Very good time,Prices will go up, , ,Prices will go up, , ,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,50-54,50,50-54,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Female, , ,.649646059604007,Jun-2022 (26724),Division 3,Indiana,Indiana,General Population
Wrong track,Stay about the same,Very good time,Somewhat good time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will go up,Somewhat difficult,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,75+,80,75+,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$15,000-$24,999",Female, , ,.755381932086199,Jun-2022 (26724),Division 3,Indiana,Indiana,General Population
Wrong track,Stay about the same,Don't know VOL,Don't know VOL,Prices will go up, ,20,Prices will go up, ,15,Don't know VOL,Very difficult,Own your home outright and do not have any debt on it,Don't know VOL, ,About the same vs. twelve months ago,75+,82,75+,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Female, , ,.29520160142004,Jun-2022 (26724),Division 3,Indiana,Indiana,General Population
Wrong track,Somewhat worse,Somewhat bad time,Very good time,Prices will go up, ,10,Prices will go up, ,10,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy, ,About the same vs. twelve months ago,70-74,70,70-74,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Male, , ,.745732826503658,Jun-2022 (26724),Division 3,Indiana,Indiana,General Population
Wrong track,Stay about the same,Very bad time,Somewhat good time,Prices will go down,15, ,Prices will go down,10, ,Rates will go up,Somewhat easy,Rent,Rent,Somewhat concerned,Significantly higher now,21-24,22,21-24,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Male, , ,.879548388434539,Jun-2022 (26724),Division 3,Michigan,Michigan,General Population
Wrong track,Stay about the same,Very bad time,Very bad time,Don't know VOL, , ,Prices will go up, , ,Rates will go up,Don't know VOL,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,75+,77,75+,Married or have an unmarried partner,Other (DO NOT READ: include refused here),Don't know VOL,Female, , ,.388298166219546,Jun-2022 (26724),Division 3,Michigan,Michigan,General Population
Wrong track,Somewhat worse,Very bad time,Very good time,Prices will go down,3, ,Prices will go up, ,1,Rates will go down,Somewhat easy,Own your home outright and do not have any debt on it,Buy,Not at all concerned,About the same vs. twelve months ago,35-39,39,35-39,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Male, , ,.404328038947777,Jun-2022 (26724),Division 3,Michigan,Michigan,General Population
Wrong track,Stay about the same,Somewhat good time,Somewhat good time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will remain about the same,Somewhat difficult,Own your home outright and do not have any debt on it,Rent, ,About the same vs. twelve months ago,75+,82,75+,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$25,000-$34,999",Female, , ,.655949330277132,Jun-2022 (26724),Division 3,Michigan,Michigan,General Population
Wrong track,Stay about the same,Very bad time,Very good time,Prices will go down,10, ,Prices will go up, ,10,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy,Not at all concerned,About the same vs. twelve months ago,55-59,58,55-59,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Male, , ,1.35422407545542,Jun-2022 (26724),Division 3,Michigan,Michigan,General Population
Wrong track,Somewhat worse,Somewhat bad time,Somewhat good time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will remain about the same,Somewhat difficult,Live with someone else and don't pay for housing,Buy,Not very concerned,About the same vs. twelve months ago,18-20,18,18-20,Single,Black / African-American,"$50,000-$74,999",Male, , ,.478914500741567,Jun-2022 (26724),Division 3,Michigan,Michigan,General Population
Right track,Stay about the same,Somewhat good time,Somewhat good time,Prices will go down,5, ,Prices will go down,5, ,Rates will remain about the same,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy, ,About the same vs. twelve months ago,60-64,62,60-64,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Female, , ,1.07484846130009,Jun-2022 (26724),Division 3,Michigan,Michigan,General Population
Wrong track,Somewhat better,Very bad time,Very good time,Prices will go up, ,5,Prices will go up, ,10,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,Significantly higher now,50-54,53,50-54,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Male, , ,.391227745693007,Jun-2022 (26724),Division 3,Michigan,Michigan,General Population
Don't know VOL,Somewhat worse,Very bad time,Somewhat good time,Prices will go up, , ,Prices will go up, ,20,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy, ,About the same vs. twelve months ago,55-59,55,55-59,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Female, , ,.597496797611699,Jun-2022 (26724),Division 3,Michigan,Michigan,General Population
Wrong track,Somewhat worse,Very bad time,Somewhat good time,Prices will go up, ,30,Prices will go up, ,15,Rates will go up,Somewhat difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,40-44,40,40-44,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Male, , ,1.29010979190781,Jun-2022 (26724),Division 3,Michigan,Michigan,General Population
Wrong track,Stay about the same,Very bad time,Very good time,Prices will go down,20, ,Prices will go down,10, ,Rates will go down,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,30-34,33,30-34,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Male, , ,3.07860114897985,Jun-2022 (26724),Division 3,Michigan,Michigan,General Population
Wrong track,Stay about the same,Very bad time,Somewhat good time,Prices will go down,30, ,Prices will go up, ,15,Rates will go up,Somewhat easy,Live with someone else and don't pay for housing,Rent,Not at all concerned,About the same vs. twelve months ago,21-24,22,21-24,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$150,000-$199,999",Female, , ,.431569940262894,Jun-2022 (26724),Division 3,Michigan,Michigan,General Population
Wrong track,Somewhat better,Somewhat good time,Very good time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will remain about the same,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,75+,79,75+,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Male, , ,3.01836179236895,Jun-2022 (26724),Division 3,Michigan,Michigan,General Population
Don't know VOL,Stay about the same,Very bad time,Very good time,Don't know VOL, , ,Don't know VOL, , ,Don't know VOL,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,30-34,30,30-34,Single,Black / African-American,"$35,000-$49,999",Female, , ,2.10267686235208,Jun-2022 (26724),Division 3,Michigan,Michigan,General Population
Wrong track,Stay about the same,Somewhat bad time,Very good time,Prices will go down, , ,Prices will go up, , ,Rates will go up,Somewhat easy,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,70-74,71,70-74,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Male, , ,.632894209973074,Jun-2022 (26724),Division 3,Michigan,Michigan,General Population
Wrong track,Much worse,Somewhat bad time,Very good time,Prices will go up, ,5,Prices will go up, ,5,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,Significantly lower now,60-64,60,60-64,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Male, , ,1.42214137687494,Jun-2022 (26724),Division 3,Michigan,Michigan,General Population
Wrong track,Stay about the same,Somewhat good time,Very good time,Prices will go up, , ,Prices will go up, , ,Rates will go up,Somewhat easy,Own your home outright and do not have any debt on it,Rent, ,About the same vs. twelve months ago,75+,87,75+,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Male, , ,.245071403523896,Jun-2022 (26724),Division 3,Michigan,Michigan,General Population
Wrong track,Somewhat worse,Very bad time,Somewhat bad time,Prices will go down,20, ,Prices will go up, ,25,Rates will remain about the same,Very easy,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,Don't know VOL, ,Don't know,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Female, , ,.616110739547886,Jun-2022 (26724),Division 3,Michigan,Michigan,General Population
Wrong track,Stay about the same,Don't know VOL,Don't know VOL,Prices will go down, , ,Prices will remain about the same, , ,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Don't know VOL, ,About the same vs. twelve months ago,75+,89,75+,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Male, , ,.304530617393675,Jun-2022 (26724),Division 3,Michigan,Michigan,General Population
Wrong track,Stay about the same,Somewhat good time,Very good time,Prices will go up, ,10,Prices will go up, ,25,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy,Not at all concerned,Significantly higher now,65-69,65,65-69,Married or have an unmarried partner,Don't know VOL,"$50,000-$74,999",Female, , ,.172315141943156,Jun-2022 (26724),Division 3,Michigan,Michigan,General Population
Wrong track,Somewhat better,Very bad time,Very bad time,Prices will go down,20, ,Prices will go up, ,5,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Don't know VOL,Somewhat concerned,Significantly higher now,55-59,56,55-59,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Male, , ,.366106010800089,Jun-2022 (26724),Division 3,Michigan,Michigan,General Population
